,Unnamed: 0,augmented_species,augmented_images
0,0,Nymphaea alba,Nymphaea alba_flower_img_592_0_2171.jpg
1,1,Crocosmia x crocosmiiflora,Crocosmia x crocosmiiflora_flower_img_275_0_6081.jpg
2,2,Crocosmia x crocosmiiflora,Crocosmia x crocosmiiflora_flower_img_1483_0_3269.jpg
3,3,Carpobrotus edulis,Carpobrotus edulis_flower_img_1133_0_5560.jpg
4,4,Alisma plantago-aquatica,Alisma plantago-aquatica_leaf_img_95_0_50.jpg
5,5,Argentina anserina,Argentina anserina_leaf_img_687_0_7796.jpg
6,6,Crocosmia x crocosmiiflora,Crocosmia x crocosmiiflora_flower_img_34_0_9577.jpg
7,7,Hypericum androsaemum,Hypericum androsaemum_flower_img_624_0_8209.jpg
8,8,Brugmansia suaveolens,Brugmansia suaveolens_flower_img_238_0_8193.jpg
9,9,Eucalyptus globulus,Eucalyptus globulus_leaf_img_285_0_6174.jpg
10,10,Brugmansia suaveolens,Brugmansia suaveolens_flower_img_801_0_6665.jpg
11,11,Eucalyptus globulus,Eucalyptus globulus_leaf_img_375_0_1325.jpg
12,12,Crocosmia x crocosmiiflora,Crocosmia x crocosmiiflora_flower_img_415_0_6225.jpg
13,13,Eucalyptus globulus,Eucalyptus globulus_leaf_img_177_0_6427.jpg
14,14,Eucalyptus globulus,Eucalyptus globulus_leaf_img_113_0_7322.jpg
15,15,Begonia evansiana,Begonia evansiana_flower_img_441_0_9424.jpg
16,16,Athyrium filix-femina,Athyrium filix-femina_leaf_img_1022_0_4804.jpg
17,17,Nelumbo nucifera,Nelumbo nucifera_flower_img_237_0_2943.jpg
18,18,Brugmansia suaveolens,Brugmansia suaveolens_flower_img_639_0_7171.jpg
19,19,Athyrium filix-femina,Athyrium filix-femina_leaf_img_503_0_6125.jpg
20,20,Brugmansia suaveolens,Brugmansia suaveolens_flower_img_1089_0_7254.jpg
21,21,Nelumbo nucifera,Nelumbo nucifera_flower_img_277_0_6019.jpg
22,22,Hypericum androsaemum,Hypericum androsaemum_flower_img_454_0_5882.jpg
23,23,Argentina anserina,Argentina anserina_leaf_img_261_0_7413.jpg
24,24,Nymphaea alba,Nymphaea alba_flower_img_801_0_5714.jpg
25,25,Nelumbo nucifera,Nelumbo nucifera_flower_img_144_0_2752.jpg
26,26,Carpobrotus edulis,Carpobrotus edulis_flower_img_643_0_5725.jpg
27,27,Begonia evansiana,Begonia evansiana_flower_img_203_0_6527.jpg
28,28,Hypericum androsaemum,Hypericum androsaemum_flower_img_474_0_6574.jpg
29,29,Nymphaea alba,Nymphaea alba_flower_img_138_0_3663.jpg
30,30,Crocosmia x crocosmiiflora,Crocosmia x crocosmiiflora_flower_img_1506_0_9663.jpg
31,31,Crocosmia x crocosmiiflora,Crocosmia x crocosmiiflora_flower_img_1449_0_9732.jpg
32,32,Brugmansia suaveolens,Brugmansia suaveolens_flower_img_139_0_3673.jpg
33,33,Argentina anserina,Argentina anserina_leaf_img_100_0_8530.jpg
34,34,Carpobrotus edulis,Carpobrotus edulis_flower_img_693_0_2750.jpg
